path,quality,group,gsplit
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.18.13 PM.png,Bad,0,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.24.35 PM.png,Bad,1,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.52.00 PM.png,Bad,2,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0194.jpg,Bad,3,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.38.13 PM.png,Bad,4,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.00.25 PM.png,Bad,5,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.34 PM.png,Bad,6,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.45.35 PM.png,Bad,7,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.51.08 PM.png,Bad,8,test
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0196.jpg,Bad,9,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.00.33 PM.png,Bad,10,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.19.46 PM.png,Bad,11,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.18.57 PM.png,Bad,12,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.24.02 PM.png,Bad,13,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.58.57 PM.png,Bad,14,test
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0174.jpg,Bad,15,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.46.22 PM.png,Bad,16,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.59.38 PM.png,Bad,17,test
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0180.jpg,Bad,18,val
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0166.jpg,Bad,19,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.54.41 PM.png,Bad,20,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0208.jpg,Bad,21,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.39.44 PM.png,Bad,22,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0190.jpg,Bad,23,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.24.47 PM.png,Bad,24,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.42.18 PM.png,Bad,25,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.23.02 PM.png,Bad,26,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.23.40 PM.png,Bad,27,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0192.jpg,Bad,28,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.47.01 PM.png,Bad,29,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.20.34 PM.png,Bad,30,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.02.18 PM.png,Bad,31,test
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0202.jpg,Bad,32,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.57.42 PM.png,Bad,33,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.00.56 PM.png,Bad,34,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.46.52 PM.png,Bad,35,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.02.02 PM.png,Bad,36,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0168.jpg,Bad,37,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.40.13 PM.png,Bad,38,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.43.48 PM.png,Bad,39,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.37.32 PM.png,Bad,40,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.57.49 PM.png,Bad,41,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.52.30 PM.png,Bad,42,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.00.17 PM.png,Bad,43,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.50.43 PM.png,Bad,44,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.56.47 PM.png,Bad,45,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.56.16 PM.png,Bad,46,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.57.05 PM.png,Bad,47,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.20.46 PM.png,Bad,48,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.19.15 PM.png,Bad,49,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.53.33 PM.png,Bad,50,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.55.52 PM.png,Bad,51,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.17.15 PM.png,Bad,52,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.50.09 PM.png,Bad,53,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.45.44 PM.png,Bad,54,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0182.jpg,Bad,55,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.47.50 PM.png,Bad,56,val
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0150.jpg,Bad,57,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.41.14 PM.png,Bad,58,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0206.jpg,Bad,59,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.39.35 PM.png,Bad,60,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.50.52 PM.png,Bad,61,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.37.11 PM.png,Bad,62,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.47.13 PM.png,Bad,63,train
